No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
1;SUPERCONDUCTING SHIELDING FOR USE WITH AN INTEGRATED CIRCUIT FOR QUANTUM COMPUTING;"BUNYK PAUL I [CA] 
JOHNSON MARK W [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2009008632A1 
US7687938B2";2006-12-01;"H01L39/22 
G06N99/00 
H04B3/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
H01L23/552 (EP,US) 
H01L2924/0002 (EP,US) 
Y10S505/872 (EP,US) 
H01L2924/0002, H01L2924/00, ADD (EP,US)      ";"2009-01-08 
2010-03-30";2008-06-05;039467400
2;SYSTEMS AND METHODS FOR REAL-TIME QUANTUM COMPUTER-BASED CONTROL OF MOBILE SYSTEMS;"WILLIAMS COLIN P [US] 
HILTON JEREMY P [CA]";"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2016026183A1 
US9400499B2";2013-01-25;"G05D1/00 
G06F1/20 
G06N99/00 
B60W10/00 
G01C22/00";"B60W10/00 (US) 
G05D1/00 (US) 
G05D1/0088 (EP,US) 
G06F1/20 (US) 
G06N10/00 (EP,US) 
G05D2201/0213 (EP)";"2016-01-28 
2016-07-26";2014-07-31;051223806
3;QUANTUM COMPUTING SYSTEM AND METHOD;LUPTON COLIN J E [CA];BLACK BRANE SYSTEMS INC [CA];WO2020092486A1;2018-10-31;"G06N10/00 
B82Y10/00";"G06N10/00 (EP,US) 
G06N20/00 (EP) 
G06N20/10 (US) 
G06N5/003 (US) 
G06N7/08 (US) 
G06N5/003 (EP) 
G06N7/005 (EP)";2020-05-07;2020-04-30;070326323
4;SYSTEMS, METHODS, AND APPARATUS FOR RECURSIVE QUANTUM COMPUTING ALGORITHMS;ROSE GEORDIE [CA];"ROSE GEORDIE [CA] 
DWAVE SYS INC [CA]";"US2008313114A1 
US8244650B2";2007-06-12;"G06F15/18 
G06F9/00 
G06N3/12 
G06N99/00 
G06N7/04";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2008-12-18 
2012-08-14";2008-12-18;040129175
5;Quantum computing integrated development environment;"COURY MICHAEL [CA] 
ROSE GEORDIE [CA] 
HILTON JEREMY P [CA]";;US2003121028A1;2001-12-22;"G06F9/45 
G06F9/44 
G06F9/45 
G06F9/455 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2003-06-26;2003-06-26;021846082
6;QUANTUM COMPUTING INTEGRATED DEVELOPMENT ENVIRONMENT;"COURY MICHAEL D [CA] 
ROSE GEORDIE [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];CA2470715A1;2001-12-22;"G06N1/00 
G06N99/00";"B82Y10/00 (EP) 
G06N10/00 (EP)";2003-07-10;2003-07-10;032991679
7;Efficient quantum computing operations;"CLEVE RICHARD [CA] 
WATROUS JOHN [CA]";MAGIQ TECHNOLOGIES INC [US];"US2003005010A1 
US7113967B2";2001-05-29;"G06F15/00 
G06N99/00 
G06F15/00 
H01L29/06";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2003-01-02 
2006-09-26";2003-01-02;026853247
8;Encoding and error suppression for superconducting quantum computers;"LIDAR DANIEL [CA] 
WU LIAN-AO [CA] 
BLAIS ALEXANDRE [CA]";"DWAVE SYS INC [CA] 
UNIV TORONTO [CA]";"US2004000666A1 
US7307275B2";2002-04-04;"H01L21/00 
H01L29/06 
G06N99/00 
H01L27/18 
H01L21/00 
H01L29/06";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US)";"2004-01-01 
2007-12-11";2004-01-01;029782512
9;Quantum computing on encrypted data;BROADBENT ANNE [CA];"BROADBENT ANNE [CA] 
QUANTUM VALLEY INVEST FUND LP [CA]";US8897449B1;2011-09-12;"G06F21/00 
H04L29/06 
H04L9/08 
H04L9/12";"H04L9/0852 (EP) 
H04L9/0891 (EP)";2014-11-25;2014-11-25;051901834
10;FOUR-TERMINAL SYSTEM FOR READING THE STATE OF A PHASE QUBIT;"IVANOV ZDRAVKO [SE] 
TZALENTCHUK ALEXANDER [SE] 
HILTON JEREMY P [CA] 
BRINK ALEXANDER MAASSEN VAN DE [CA] 
VAN DEN BRINK ALEXANDER MAASSE [CA]";"DWAVE SYS INC [US] 
DWAVE SYS INC [CA]";"US2002179937A1 
US6580102B2";2001-06-05;"H01L31/0336 
H01L31/072 
G06N99/00 
H01L21/00 
H01L29/788 
H01L31/0336 
H01L31/072 
H01L31/109 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/225 (EP,US) 
Y10S977/70 (EP,US) 
Y10S977/812 (EP,US) 
Y10S977/838 (EP,US) 
Y10S977/933 (EP,US) 
Y10S977/96 (EP,US)";"2002-12-05 
2003-06-17";2002-12-05;025366343
